issue,title,validator comment,status,size,Best
validation-7,QA Report,,Unsatisfactory,76,
validation-4,QA Report,,Unsatisfactory,78,
validation-3,Gas Optimizations,,Unsatisfactory,89,
findings-8,QA Report,,Satisfactory,137,
validation-152,QA Report,,Unsatisfactory,215,
validation-65,QA Report,,Satisfactory,581,★★★
validation-192,QA Report,,Satisfactory,1017,★★★
validation-50,QA Report,,Satisfactory,975,★★★
